variant	rank_mean	rank_std	rank_min	rank_max	n_metrics
recap_k12	2.0	0.0	2	2	2
recap_k16	2.5	2.1213203435596424	1	4	2
recap_k4	2.5	2.1213203435596424	1	4	2
recap_k3	4.5	2.1213203435596424	3	6	2
recap_k6	5.0	2.8284271247461903	3	7	2
recap_k8	5.0	0.0	5	5	2
recap_k2	6.5	0.7071067811865476	6	7	2
