xvar	method	term	coef	se	pval
B2	GEE-Binomial-Exchangeable	const	-0.2926897654178117	0.0703312248995796	3.160385454135118e-05
B2	GEE-Binomial-Exchangeable	delta	-0.012145950216450145	0.007194601212769072	0.09137219112358079
D	GEE-Binomial-Exchangeable	const	-0.3092015504272123	0.06816189985523483	5.725480758446766e-06
D	GEE-Binomial-Exchangeable	k	-0.014211746302036173	0.009824958729028057	0.14803862379195262
B1	GEE-Binomial-Exchangeable	const	-0.2724278526411229	0.08890639767636903	0.0021824581865339168
B1	GEE-Binomial-Exchangeable	tau	-0.17992348769033656	0.1361161029775365	0.18622197835085474
