model	points	delta_min	delta_max	A	lambda_	t_half
blip2	19	0.0	18.0	0.1815057732954068	0.0006645139681427866	1043.0889549202166
llava	20	0.0	19.0	0.5113234788199865	0.012836936852681936	53.99630679145474
