model	points	delta_min	delta_max	A	lambda_	t_half
BLIP2	870	0.0	7.0	0.320274234937791	0.061228799819690594	11.32060701175194
LLAVA	870	0.0	7.0	0.5094085036023442		
QWEN	870	0.0	7.0	0.5391503489719753		
