vlm	effect	term	coef	ci_lo	ci_hi	p
blip2	B2	Turns since first mention (Δ)	-0.10388996396748755	-0.20308749478583843	-0.004692433149136671	0.040103818500662504
llava	B2	Turns since first mention (Δ)	-0.06205408902054912	-0.16087253051956335	0.03676435247846511	0.21840508900175415
qwen	B2	Turns since first mention (Δ)	-0.07402192702054816	-0.1385530232698714	-0.009490830771224923	0.024561957757693195
blip2	D	Revisit index (k)	-0.28777322089660023	-0.4543609042132727	-0.12118553757992778	0.0007098262202550374
llava	D	Revisit index (k)	-0.20119318910029305	-0.4481410467545789	0.045754668553992794	0.11030572221419899
qwen	D	Revisit index (k)	-0.23572848579021996	-0.3842837276606904	-0.08717324391974954	0.0018703388439903358
blip2	B1	Normalized progress (τ)	-2.5570650996707864	-4.869106629306531	-0.2450235700350425	0.03018339395810359
llava	B1	Normalized progress (τ)	-1.386209400942838	-3.493591298925345	0.7211724970396687	0.19731475149000977
qwen	B1	Normalized progress (τ)	-1.7389214488118705	-3.1457191714675385	-0.33212372615620267	0.015406409602712686
