model	k	ok_mean
blip2	1	0.15
blip2	2	0.2
blip2	3	0.3
blip2	4	0.2
blip2	5	0.2
blip2	6	0.05
blip2	7	0.0
blip2	8	0.0
llava	1	0.5
llava	2	0.55
llava	3	0.5
llava	4	0.3
llava	5	0.25
llava	6	0.35
llava	7	0.3
llava	8	0.2
qwen	1	0.75
qwen	2	0.8
qwen	3	0.7
qwen	4	0.55
qwen	5	0.6
qwen	6	0.65
qwen	7	0.4
qwen	8	0.4
