model	tau_bin	ok_mean
blip2	1	0.3333333333333333
blip2	2	0.1
blip2	3	0.3333333333333333
blip2	4	0.1
blip2	5	0.1
blip2	6	0.2
blip2	7	0.08
blip2	8	0.0
llava	1	0.5333333333333333
llava	2	0.4
llava	3	0.5333333333333333
llava	4	0.4
llava	5	0.7
llava	6	0.2857142857142857
llava	7	0.32
llava	8	0.2571428571428571
qwen	1	0.8
qwen	2	0.8
qwen	3	0.4666666666666667
qwen	4	0.9
qwen	5	0.9
qwen	6	0.5428571428571428
qwen	7	0.68
qwen	8	0.4
