xvar	method	term	coef	se	pval
B2	GEE-Binomial-Exchangeable	const	-0.3716760729468575	0.07710231897611958	1.4315841436352503e-06
B2	GEE-Binomial-Exchangeable	delta	0.0003896897048175561	0.009542432360617303	0.9674253915327082
D	GEE-Binomial-Exchangeable	const	-0.40345029617268324	0.07114136192353124	1.4187750752835119e-08
D	GEE-Binomial-Exchangeable	k	0.008077071290712055	0.01172307839901719	0.4908302313196299
B1	GEE-Binomial-Exchangeable	const	-0.37643007670024486	0.09470747914407907	7.047971929342426e-05
B1	GEE-Binomial-Exchangeable	tau	0.013504224413235899	0.15789073946591875	0.9318409049238826
