model	delta	ok_mean
blip2	0	0.171990171990172
blip2	1	0.2222222222222222
blip2	2	0.25675675675675674
blip2	3	0.1461187214611872
blip2	4	0.16037735849056603
blip2	5	0.16908212560386474
blip2	6	0.1306532663316583
blip2	7	0.1631578947368421
blip2	8	0.15425531914893617
blip2	9	0.22994652406417113
blip2	10	0.2483221476510067
blip2	11	0.1984126984126984
blip2	12	0.20610687022900764
blip2	13	0.21666666666666667
blip2	14	0.16964285714285715
blip2	15	0.11904761904761904
blip2	16	0.17777777777777778
blip2	17	0.10869565217391304
blip2	18	0.14634146341463414
blip2	19	0.17647058823529413
llava	0	0.44226044226044225
llava	1	0.5265700483091788
llava	2	0.4954954954954955
llava	3	0.4474885844748858
llava	4	0.5424528301886793
llava	5	0.5120772946859904
llava	6	0.47738693467336685
llava	7	0.4631578947368421
llava	8	0.3776595744680851
llava	9	0.47593582887700536
llava	10	0.4429530201342282
llava	11	0.5396825396825397
llava	12	0.4732824427480916
llava	13	0.5166666666666667
llava	14	0.5625
llava	15	0.2976190476190476
llava	16	0.4222222222222222
llava	17	0.43478260869565216
llava	18	0.43902439024390244
llava	19	0.17647058823529413
qwen	0	0.44963144963144963
qwen	1	0.5942028985507246
qwen	2	0.5585585585585585
qwen	3	0.5525114155251142
qwen	4	0.6320754716981132
qwen	5	0.5748792270531401
qwen	6	0.507537688442211
qwen	7	0.5
qwen	8	0.42021276595744683
qwen	9	0.5828877005347594
qwen	10	0.5570469798657718
qwen	11	0.5793650793650794
qwen	12	0.5877862595419847
qwen	13	0.5666666666666667
qwen	14	0.7053571428571429
qwen	15	0.36904761904761907
qwen	16	0.6222222222222222
qwen	17	0.6739130434782609
qwen	18	0.5121951219512195
qwen	19	0.5882352941176471
