model	points	delta_min	delta_max	A	lambda_	t_half
blip2	19	0.0	18.0	0.2525355797086798	0.04507680081768524	15.377026940385683
llava	20	0.0	19.0	0.5870800072825676	0.03162014406420582	21.921063330783234
qwen	20	0.0	19.0	0.6711346614636798	0.029805778616078436	23.255462958650366
