xvar	method	term	coef	se	pval
B2	GEE-Binomial-Exchangeable	const	0.07736318577670291	0.1062541303958847	0.46655494639769735
B2	GEE-Binomial-Exchangeable	delta	-0.06356229610397965	0.01278984434589193	6.704017011576443e-07
D	GEE-Binomial-Exchangeable	const	-0.07806743892254414	0.07718130968841524	0.3117862045518581
D	GEE-Binomial-Exchangeable	k	-0.07229588536964618	0.015827269995692773	4.928578663794586e-06
B1	GEE-Binomial-Exchangeable	const	0.19795276178214347	0.1280105304189111	0.12201312735128933
B1	GEE-Binomial-Exchangeable	tau	-0.9644367244138413	0.20085568804740264	1.5737135331331603e-06
