model	tau	ok_mean
blip2	0.05	0.25806451612903225
blip2	0.05263157894736842	0.3
blip2	0.05555555555555555	0.4
blip2	0.058823529411764705	0.2727272727272727
blip2	0.0625	0.25
blip2	0.06666666666666667	0.45454545454545453
blip2	0.07142857142857142	0.5
blip2	0.07692307692307693	0.5
blip2	0.08333333333333333	0.058823529411764705
blip2	0.09090909090909091	0.0
blip2	0.1	0.19298245614035087
blip2	0.10526315789473684	0.4
blip2	0.1111111111111111	0.6
blip2	0.11764705882352941	0.16666666666666666
blip2	0.125	0.36666666666666664
blip2	0.13333333333333333	0.6363636363636364
blip2	0.14285714285714285	0.0625
blip2	0.15	0.36363636363636365
blip2	0.15384615384615385	0.75
blip2	0.15789473684210525	0.35714285714285715
blip2	0.16666666666666666	0.375
blip2	0.17647058823529413	0.6
blip2	0.18181818181818182	0.2222222222222222
blip2	0.1875	0.35
blip2	0.2	0.1527777777777778
blip2	0.21052631578947367	0.2222222222222222
blip2	0.21428571428571427	0.3333333333333333
blip2	0.2222222222222222	0.8
blip2	0.23076923076923078	0.75
blip2	0.23529411764705882	0.8
blip2	0.25	0.2727272727272727
blip2	0.2631578947368421	0.3
blip2	0.26666666666666666	0.09090909090909091
blip2	0.2727272727272727	0.8888888888888888
blip2	0.2777777777777778	0.4
blip2	0.2857142857142857	0.06666666666666667
blip2	0.29411764705882354	0.2
blip2	0.3	0.22033898305084745
blip2	0.3076923076923077	0.4
blip2	0.3125	0.4
blip2	0.3157894736842105	0.14285714285714285
blip2	0.3333333333333333	0.30434782608695654
blip2	0.35	0.2222222222222222
blip2	0.35294117647058826	0.14285714285714285
blip2	0.35714285714285715	0.5
blip2	0.36363636363636365	0.0
blip2	0.3684210526315789	0.09090909090909091
blip2	0.375	0.28125
blip2	0.38461538461538464	0.16666666666666666
blip2	0.3888888888888889	0.14285714285714285
blip2	0.4	0.13513513513513514
blip2	0.4117647058823529	1.0
blip2	0.4166666666666667	0.14285714285714285
blip2	0.42105263157894735	0.0
blip2	0.42857142857142855	0.0
blip2	0.4375	0.02631578947368421
blip2	0.4444444444444444	0.14285714285714285
blip2	0.45	0.30434782608695654
blip2	0.45454545454545453	0.26666666666666666
blip2	0.46153846153846156	0.0
blip2	0.4666666666666667	0.09090909090909091
blip2	0.47058823529411764	0.16666666666666666
blip2	0.47368421052631576	0.6
blip2	0.5	0.1732283464566929
blip2	0.5263157894736842	0.0
blip2	0.5294117647058824	0.2
blip2	0.5333333333333333	0.38095238095238093
blip2	0.5384615384615384	0.5714285714285714
blip2	0.5454545454545454	0.0
blip2	0.55	0.23333333333333334
blip2	0.5555555555555556	0.1111111111111111
blip2	0.5625	0.2631578947368421
blip2	0.5714285714285714	0.16666666666666666
blip2	0.5789473684210527	0.0
blip2	0.5833333333333334	0.25
blip2	0.5882352941176471	0.0
blip2	0.6	0.1511627906976744
blip2	0.6111111111111112	0.25
blip2	0.6153846153846154	0.0
blip2	0.625	0.12727272727272726
blip2	0.631578947368421	0.05263157894736842
blip2	0.6363636363636364	0.3333333333333333
blip2	0.6428571428571429	0.0
blip2	0.6470588235294118	0.0
blip2	0.65	0.11320754716981132
blip2	0.6666666666666666	0.14285714285714285
blip2	0.6842105263157895	0.0
blip2	0.6875	0.35714285714285715
blip2	0.6923076923076923	0.14285714285714285
blip2	0.7	0.1643835616438356
blip2	0.7058823529411765	0.0
