model	points	delta_min	delta_max	A	lambda_	t_half
BLIP2	1500	0.0	15.0	0.381920498784834	0.03789036360932731	18.29349508774089
LLAVA	1500	0.0	15.0	0.7215340345746111	0.03353006717215783	20.672406559790904
QWEN	1500	0.0	15.0	0.7990861562389497	0.03552489102485851	19.511592029231455
