variant	rank_mean	rank_std	rank_min	rank_max	n_metrics
rand_order_s0	1.6666666666666667	0.5773502691896257	1	2	3
rand_order_s1	2.3333333333333335	1.1547005383792515	1	3	3
rand_order_s2	3.6666666666666665	3.7859388972001824	1	8	3
baseline_samples	5.333333333333333	0.5773502691896258	5	6	3
interleave	5.333333333333333	1.5275252316519465	4	7	3
shuffle_images_s1	6.0	2.6457513110645907	3	8	3
shuffle_images_s0	6.333333333333333	0.5773502691896258	6	7	3
blocked	6.5	3.5355339059327378	4	9	2
shuffle_images_s2	7.0	2.6457513110645907	4	9	3
