model	points	delta_min	delta_max	A	lambda_	t_half
BLIP2	220	0.0	1.0	0.2090909090909091	0.1397619423751585	4.959484454640395
LLAVA	220	0.0	1.0	0.4727272727272729		
QWEN	220	0.0	1.0	0.6	0.09531017980432488	7.272540897341718
