model	points	delta_min	delta_max	A	lambda_	t_half
blip2	19	0.0	18.0	0.25554725304393433	0.06684912741007332	10.368829144290324
llava	20	0.0	19.0	0.6014029169079154	0.045182801775353984	15.340951718891382
qwen	20	0.0	19.0	0.6822223407410709	0.04127578496989846	16.793070829917408
