model	points	delta_min	delta_max	A	lambda_	t_half
BLIP2	440	0.0	3.0	0.30313932337805183	0.14783916281261728	4.688522089633945
LLAVA	440	0.0	3.0	0.5291679193713539	0.007908154750315243	87.64967333654091
QWEN	440	0.0	3.0	0.5789497872449308	0.0029852963149680596	232.18706199600874
