xvar	method	term	coef	se	pval
B2	GEE-Binomial-Exchangeable+(delta->turn)	const	-0.11022321069400896	0.11398277505951358	0.3335358445119869
B2	GEE-Binomial-Exchangeable+(delta->turn)	delta	-0.056317410183146295	0.05373846578581331	0.29464291048953506
D	GEE-Binomial-Exchangeable	const	-0.011444160312962743	0.004417877871603581	0.009585882870140554
D	GEE-Binomial-Exchangeable	k	-0.04577664125185099	0.017671511486414312	0.009585882870140486
