model	points	delta_min	delta_max	A	lambda_	t_half
BLIP2	659	0.0	5.0	0.2562676180160795	0.032257278605862534	21.488086116290376
LLAVA	659	0.0	5.0	0.4865157689621881		
QWEN	659	0.0	5.0	0.5186540116660991		
