xvar	method	term	coef	se	pval
B2	GEE-Binomial-Exchangeable	const	0.014257729918564208	0.07583593735347188	0.8508707209474142
B2	GEE-Binomial-Exchangeable	delta	-0.06945015153661395	0.010338030478138728	1.8432585372494856e-11
D	GEE-Binomial-Exchangeable	const	-0.08689121981076472	0.07391199333547213	0.23975323861588727
D	GEE-Binomial-Exchangeable	k	-0.0699808757323454	0.014598582945029887	1.6375272021877453e-06
B1	GEE-Binomial-Exchangeable	const	0.2231492685227263	0.1180736187487415	0.058769141762785665
B1	GEE-Binomial-Exchangeable	tau	-1.0080724476811695	0.17968048014315227	2.0190440795173996e-08
