model	points	delta_min	delta_max	A	lambda_	t_half
BLIP2	330	0.0	2.0	0.3464693395244957	0.35891989657515877	1.931202998702521
LLAVA	330	0.0	2.0	0.5662267422405356	0.06460586574000331	10.728858326106378
QWEN	330	0.0	2.0	0.6249628165677134	0.06258157147700312	11.075899249584303
