delta,mean,N
0,0.28255528255528256,407
1,0.2631578947368421,399
2,0.22727272727272727,396
3,0.27735368956743,393
4,0.2190721649484536,388
5,0.18253968253968253,378
6,0.17567567567567569,370
7,0.1608187134502924,342
8,0.2507836990595611,319
