delta,mean,N
0,0.5945945945945946,407
1,0.5639097744360902,399
2,0.601010101010101,396
3,0.549618320610687,393
4,0.5876288659793815,388
5,0.5846560846560847,378
6,0.4972972972972973,370
7,0.4766081871345029,342
8,0.5015673981191222,319
