bin_center,mean,N
0.05,0.3220338983050847,118
0.15000000000000002,0.3463687150837989,179
0.25,0.39864864864864863,148
0.35000000000000003,0.26436781609195403,174
0.45,0.24277456647398843,173
0.55,0.2585034013605442,147
0.6500000000000001,0.18518518518518517,162
0.75,0.14375,160
0.8500000000000001,0.17365269461077845,167
0.95,0.15463917525773196,194
