bin_center,mean,N
0.05,0.652542372881356,118
0.15000000000000002,0.6927374301675978,179
0.25,0.7432432432432432,148
0.35000000000000003,0.6436781609195402,174
0.45,0.5549132947976878,173
0.55,0.5102040816326531,147
0.6500000000000001,0.43209876543209874,162
0.75,0.4,160
0.8500000000000001,0.46107784431137727,167
0.95,0.4329896907216495,194
