delta,mean,N
0,0.687960687960688,407
1,0.6491228070175439,399
2,0.6590909090909091,396
3,0.6335877862595419,393
4,0.6417525773195877,388
5,0.6693121693121693,378
6,0.5405405405405406,370
7,0.5730994152046783,342
8,0.6332288401253918,319
