model	points	delta_min	delta_max	A	lambda_	t_half
blip2	20	0.0	19.0	0.3726490961408971	0.03179330069866869	21.801674105166757
llava	20	0.0	19.0	0.7254587670558527	0.029286032934278058	23.66818278581685
qwen	20	0.0	19.0	0.8062622501634865	0.0298366525148712	23.231399038966135
