xvar	method	term	coef	se	pval
B2	GEE-Binomial-Exchangeable	const	0.5419445814155339	0.0900853003235635	1.7888479559811621e-09
B2	GEE-Binomial-Exchangeable	delta	-0.06639202531265813	0.008117943860780193	2.875690012477216e-16
D	GEE-Binomial-Exchangeable	const	0.5419445814155339	0.0900853003235635	1.7888479559811621e-09
D	GEE-Binomial-Exchangeable	k	-0.06639202531265813	0.008117943860780193	2.875690012477216e-16
B1	GEE-Binomial-Exchangeable	const	0.6496599251820214	0.10458407547496072	5.236651845239172e-10
B1	GEE-Binomial-Exchangeable	tau	-1.0763719347290985	0.14964275946110067	6.340912288227528e-13
