k	variant	half_mean	absZ
2	recap_k2	6.1160126759910565	0.2116550813997998
3	recap_k3	7.911986858131068	2.732366160341531
4	recap_k4	108.17508580739455	1.0479906591976753
6	recap_k6	21.488086116290376	0.6129321778025543
8	recap_k8	11.32060701175194	0.6488132303342047
12	recap_k12	21.31845940102453	4.230921724989996
16	recap_k16	19.492497892254416	7.635091988806332
