variant	rank_mean	rank_std	rank_min	rank_max	n_metrics
recap_k4	2.5	2.1213203435596424	1	4	2
recap_k6	2.5	0.7071067811865476	2	3	2
recap_k12	4.0	2.8284271247461903	2	6	2
recap_k2	4.0	4.242640687119285	1	7	2
recap_k8	4.0	1.4142135623730951	3	5	2
recap_k16	5.5	2.1213203435596424	4	7	2
recap_k3	5.5	0.7071067811865476	5	6	2
