model	points	delta_min	delta_max	A	lambda_	t_half
BLIP2	1227	0.0	11.0	0.34653008233972604	0.044065196994573196	15.730037032293515
LLAVA	1227	0.0	11.0	0.6247973704124523	0.027819472058297733	24.915899881471685
QWEN	1227	0.0	11.0	0.689440992531563	0.029736756533837595	23.309441289308396
