xvar	method	term	coef	se	pval
B2	GEE-Binomial-Exchangeable	const	-0.35710541425693043	0.08306563809040038	1.715123725211994e-05
B2	GEE-Binomial-Exchangeable	delta	-0.0019587097300438196	0.010871266364036273	0.8570166782049271
D	GEE-Binomial-Exchangeable	const	-0.3707916073967286	0.08253191148170565	7.0323864470842055e-06
D	GEE-Binomial-Exchangeable	k	0.00036956606338974	0.015784881823697843	0.981321106953722
B1	GEE-Binomial-Exchangeable	const	-0.3576015717773152	0.10814329149708193	0.0009438900383937762
B1	GEE-Binomial-Exchangeable	tau	-0.02182462564281134	0.18232446622762774	0.9047191187147544
